player_id,hero_name,role,timePlayed_value,matchesWinPct_value,matchesPlayed_value,kdRatio_value,kdaRatio_value,totalHeroDamagePerMinute_value,totalHeroHealPerMinute_value,totalDamageTakenPerMinute_value,lastKills_value,totalMvp_value,totalSvp_value,percent_of_time_played
pomil,Star-Lord,duelist,1625.422,83.33333333333334,2.4,9.222222222222221,9.222222222222221,1633.0,0.0,593.0,39,0,0,1.6305272460284046
pomil,Gambit,strategist,29438.208,63.235294117647065,40.8,4.6453900709219855,12.340425531914894,702.0,2585.0,530.0,145,6,4,29.53066970808279
pomil,Rocket Raccoon,strategist,1880.328,23.529411764705884,3.4,2.1,9.1,221.0,1628.0,366.0,3,0,0,1.8862338737079345
pomil,Loki,strategist,2105.198,100.0,2.2,3.142857142857143,9.357142857142858,685.0,2605.0,573.0,12,0,0,2.1118101620899097
pomil,Doctor Strange,vanguard,1300.339,58.82352941176471,1.7,4.181818181818182,4.909090909090909,1136.0,0.0,2464.0,8,0,0,1.3044232012199475
pomil,Psylocke,duelist,1072.529,60.0,1.5,2.6,2.6,1497.0,0.0,581.0,12,0,0,1.075897678667816
pomil,Hela,duelist,1244.831,53.84615384615385,1.3,5.181818181818182,5.7272727272727275,1946.0,0.0,831.0,23,0,0,1.2487408575747005
fanp2,Daredevil,duelist,27081.189,72.3076923076923,39.0,4.39453125,6.1484375,1693.0,3.0,1386.0,521,18,6,42.28191569137593
fanp2,Hela,duelist,5959.136,87.96296296296295,10.8,6.574468085106383,6.851063829787234,2100.0,0.0,625.0,180,5,0,9.304011206651348
fanp2,Phoenix,duelist,12572.843,88.94472361809046,19.9,5.027777777777778,5.425925925925926,1992.0,108.0,842.0,256,6,0,19.63000545237899
fanp2,Mantis,strategist,1115.399,100.0,1.8,4.571428571428571,14.428571428571429,969.0,1410.0,1039.0,6,0,0,1.7414747365872678
fanp2,Winter Soldier,duelist,2679.212,64.70588235294117,3.4,2.8055555555555554,3.138888888888889,1958.0,0.0,1168.0,58,0,0,4.183059167133417
fanp2,Star-Lord,duelist,4627.091,76.92307692307693,6.5,6.827586206896552,6.827586206896552,1856.0,0.0,741.0,76,0,0,7.224286627825845
fanp2,Namor,duelist,3311.783,80.48780487804879,4.1,2.9743589743589745,3.41025641025641,1755.0,0.0,815.0,53,0,0,5.170693561280934
fanp2,Wolverine,duelist,2717.899,74.28571428571429,3.5,5.0,5.916666666666667,1392.0,72.0,1274.0,47,0,0,4.243461259240683
fanp2,Doctor Strange,vanguard,1235.737,78.57142857142858,1.4,3.1538461538461537,3.1538461538461537,1637.0,0.0,3112.0,17,0,0,1.929358701743628
fanp2,Rocket Raccoon,strategist,1704.882,100.0,2.0,1.0,6.0,126.0,2348.0,383.0,1,0,0,2.661835748339719
fanp2,Moon Knight,duelist,1043.935,100.0,1.2,3.909090909090909,3.909090909090909,2404.0,0.0,1071.0,18,0,0,1.629897847442242
Zemelnyk,Gambit,strategist,50606.74,57.20399429386591,70.1,2.901719901719902,7.066339066339066,727.0,2279.0,653.0,338,10,4,47.209721526699724
Zemelnyk,Invisible Woman,strategist,35403.291,66.09848484848484,52.8,3.306201550387597,8.151162790697674,783.0,2649.0,1136.0,163,1,2,33.026816373445804
Zemelnyk,Mantis,strategist,13404.031,53.125,19.2,1.7744360902255638,5.902255639097745,799.0,1542.0,736.0,67,0,0,12.504274546142483
Zemelnyk,Luna Snow,strategist,7781.529,54.91803278688525,12.2,1.661764705882353,5.294117647058823,528.0,2823.0,727.0,29,0,0,7.259187553711981
ENVY shpeediry,Daredevil,duelist,10650.1,65.14285714285715,17.5,3.1782945736434107,4.635658914728682,1942.0,4.0,1596.0,163,8,3,28.533661916575483
ENVY shpeediry,Squirrel Girl,duelist,1923.841,77.41935483870968,3.1,2.9130434782608696,3.130434782608696,2218.0,0.0,793.0,37,1,0,5.154339271485384
ENVY shpeediry,Psylocke,duelist,10695.36,71.97452229299364,15.7,3.2125984251968505,3.2125984251968505,2005.0,0.0,859.0,217,6,1,28.654922143084544
ENVY shpeediry,Star-Lord,duelist,4674.082,65.07936507936508,6.3,5.135135135135135,5.135135135135135,2176.0,0.0,844.0,89,2,1,12.522762749490704
ENVY shpeediry,Namor,duelist,2241.558,75.75757575757575,3.3,2.5925925925925926,3.0,1777.0,0.0,926.0,35,0,0,6.005564092205247
ENVY shpeediry,Wolverine,duelist,2306.097,81.25,3.2,4.875,6.25,1653.0,89.0,1774.0,28,0,0,6.178476459829388
ENVY shpeediry,Mantis,strategist,1762.918,57.14285714285714,2.1,1.7894736842105263,5.2105263157894735,1185.0,1333.0,908.0,13,0,0,4.72319566939704
ENVY shpeediry,Phoenix,duelist,1662.29,16.666666666666664,3.0,1.3,1.4,2054.0,169.0,1027.0,16,0,1,4.453593944404677
ENVY shpeediry,Storm,duelist,1408.441,83.33333333333333,1.8,3.5,6.4375,2792.0,0.0,1212.0,22,0,0,3.773483753527524
-oo- <---MyPig,Emma Frost,vanguard,15878.634,61.75115207373272,21.7,3.936,4.864,1741.0,0.0,2739.0,177,3,1,23.633171855370584
-oo- <---MyPig,Angela,vanguard,12061.899,73.09941520467835,17.1,3.606060606060606,4.404040404040404,1030.0,0.0,1838.0,148,0,1,17.95248457575901
-oo- <---MyPig,Groot,vanguard,24296.102,60.05665722379604,35.3,3.6881188118811883,4.52970297029703,1757.0,49.0,3915.0,253,2,2,36.16142005550433
