player_id,hero_name,role,timePlayed_value,matchesWinPct_value,kdRatio_value,kdaRatio_value,totalHeroDamagePerMinute_value,totalHeroHealPerMinute_value,totalDamageTakenPerMinute_value,lastKills_value,totalMvp_value,totalSvp_value,percent_of_time_played,Arakko,Birnin T'Challa,Celestial Husk,Central Park,Hall Of Djalia,Heart Of Heaven,Hell's Heaven,Krakoa,Midtown,Royal Palace,Spider-Islands,Symbiotic Surface,Yggdrasill Path,Convergence,Convoy,Domination
Karova,Magneto,vanguard,1.5396805555555557,0.4818181818181818,1.912280701754386,2.3684210526315788,1522.0,0.0,2753.0,42,0,1,2.2183073798220168,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818,0.4818181818181818
Karova,Phoenix,duelist,5.4662991666666665,0.5543071161048689,3.6705202312138727,4.0,2341.0,137.0,943.0,281,7,4,7.875615326814506,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689,0.5543071161048689
Karova,Loki,strategist,0.5495191666666667,0.391304347826087,1.2,3.933333333333333,667.0,1918.0,587.0,4,0,0,0.791724243299588,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087
Karova,Luna Snow,strategist,0.5200913888888888,0.8,3.8,9.5,794.0,2579.0,616.0,7,0,0,0.7493259312726804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Karova,Invisible Woman,strategist,12.882212222222222,0.5655058043117746,3.2222222222222223,7.482456140350878,1041.0,3018.0,1231.0,207,11,11,18.56015284331349,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746,0.5655058043117746
Karova,Emma Frost,vanguard,1.3234547222222222,0.31818181818181823,2.3773584905660377,3.0,1825.0,0.0,2836.0,38,0,1,1.906778238234314,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823,0.31818181818181823
Karova,Rocket Raccoon,strategist,0.3736175,0.41666666666666674,2.333333333333333,12.0,154.0,2280.0,320.0,3,0,0,0.538292475338562,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674,0.41666666666666674
Karova,Winter Soldier,duelist,1.2211333333333334,0.47540983606557385,2.977777777777778,3.755555555555556,2202.0,0.0,1075.0,59,0,0,1.7593578585543483,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385,0.47540983606557385
Karova,Star-Lord,duelist,0.4720502777777778,0.2727272727272727,2.75,2.75,1759.0,0.0,1071.0,18,0,0,0.6801103066886743,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
이페,Gambit,strategist,7.770868055555556,0.7518987341772152,4.972222222222222,11.84027777777778,938.0,2751.0,675.0,226,12,7,66.95926838631661,0.7518987341772152,0.7518987341772152,1.0,1.0,0.7518987341772152,1.0,1.0,0.7518987341772152,0.7518987341772152,0.7518987341772152,0.0,1.0,0.6666666666666666,1.0,0.5,1.0
이페,Invisible Woman,strategist,2.707307777777778,0.670807453416149,3.9672131147540974,9.60655737704918,1243.0,3067.0,1411.0,42,1,3,23.32806924536368,0.670807453416149,0.0,1.0,1.0,0.670807453416149,0.0,1.0,1.0,1.0,0.670807453416149,0.670807453416149,0.670807453416149,0.670807453416149,0.5,1.0,0.8333333333333334
이페,Loki,strategist,0.8330105555555556,0.8108108108108109,7.0,16.5,953.0,2538.0,561.0,18,1,0,7.177805228362158,1.0,0.8108108108108109,1.0,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.5,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.6666666666666666,1.0
이페,Adam Warlock,strategist,0.29417944444444444,1.0,2.4,4.2,1418.0,1497.0,945.0,7,0,0,2.5348571399575537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voldemortᅠ,Invisible Woman,strategist,5.721416666666666,0.8282828282828284,5.587155963302752,12.26605504587156,1435.0,2986.0,1579.0,156,13,3,31.478927293476,0.8282828282828284,1.0,1.0,1.0,0.8282828282828284,0.5,1.0,0.8282828282828284,0.8282828282828284,0.8282828282828284,1.0,1.0,0.5,0.8571428571428571,0.6666666666666666,1.0
Voldemortᅠ,Gambit,strategist,7.529661944444444,0.8468899521531099,6.064102564102564,11.967948717948715,1217.0,2470.0,652.0,369,23,3,41.42779571964167,0.0,0.8468899521531099,0.8468899521531099,0.0,0.8468899521531099,0.8468899521531099,0.8468899521531099,1.0,1.0,0.8468899521531099,0.8468899521531099,1.0,0.8468899521531099,0.5,0.5,1.0
Voldemortᅠ,Rocket Raccoon,strategist,0.5231811111111111,0.8571428571428572,7.75,23.25,451.0,2164.0,327.0,21,1,0,2.878514381575657,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
